`
date, price
2020-09-30,	17276
2020-06-30,	14858
2020-03-31,	14278
2019-12-31,	17590
2019-09-30,	14497
2019-06-30,	13579
2019-03-31, 12261
2018-12-31,	14118
2018-09-30,	11309
2018-06-30,	11017
2018-03-31,	10039
2017-12-31,	11362
2017-09-30,	8880
2017-06-30,	8084
2017-03-31,	6873
2016-12-31,	7762
2016-09-30,	6024
2016-06-30, 5519
2016-03-31,	4544
2015-12-31,	5017
2015-09-30,	3781
2015-06-30,	3374
2015-03-31,	2889
2014-12-31,	3198
2014-09-30,	2638
2014-06-30,	2437
2014-03-31,	2040
2013-12-31,	2095
2013-09-30,	1509
2013-06-30,	1348
2013-03-31,	1045
2012-12-31,	1187
2012-09-30,	940
2012-06-30,	817
2012-03-31,	781
2011-12-31,	884
2011-09-30,	718
2011-06-30,	685
2011-03-31, 564
2010-12-31,	581
2010-09-30,	336
2010-06-30,	320
2010-03-31, 245
2009-12-31, 0
2008-12-31, 0
`
